MIC,ticker,CIK,ISIN,GICS Sector,GICS Industry
XNYS,ROK,0001024478,NL0000473510,20,201040
XNYS,BKE,0000885245,US1184401065,25,255040
XNYS,ONIT,0000873860,US6757466064,40,402010
XNYS,SKM,0001015650,US78440P3064,50,501020
XNYS,FDS,0001013237,US3030751057,40,402030
XNYS,ELME,0000104894,US9396531017,60,601060
XNYS,MTZ,0000015615,US5763231090,20,201030
XNYS,BHE,0000863436,US08160H1014,45,452030
XNYS,CADE,0001299939,US12740C1036,40,401010
XNYS,RNR,0000913144,BMG7496G1033,40,403010
XNYS,AVA,0000104918,US05379B1070,55,551030
XNYS,TFC,0000092230,US89832Q1094,40,401010
XNYS,CRK,0000023194,US2057683029,10,101020
XNYS,YUM,0001041061,US9884981013,25,253010
XNYS,MKL,0001096343,US5705351048,40,403010
XNYS,PAG,0001019849,US70959W1036,25,255040
XNYS,RL,0001037038,US7512121010,25,252030
XNYS,TGI,0001021162,US8968181011,20,201010
XNYS,TM,0000801891,US8923313071,25,251020
XNYS,RHP,0001040829,US78377T1079,60,601030
XNYS,NLY,0001043219,US0357108390,40,402040
XNYS,TSM,0001046179,US8740391003,45,453010
XNYS,VTR,0000740260,US92276F1003,60,601050
XNYS,AORT,0000784199,US2289031005,35,351010
XNYS,BRO,0000079282,US1152361010,40,403010
XNGS,HON,0000773840,US4385161066,20,201050
XNYS,ING,0000903847,US4568371037,40,401010
XNYS,MMS,0001032220,US5779331041,20,202020
XNYS,JBL,0000898293,US4663131039,45,452030
XNYS,AMT,0001053507,US03027X1000,60,601080
XNYS,CNX,0001070412,US12653C1080,10,101020
XNYS,MT,0001243429,US03938L2034,15,151040
XNYS,TRC,0000096869,US8790801091,60,602010
XNYS,PLD,0001045609,US74340W1036,60,601025
XNYS,FHN,0000036966,US3205171057,40,401010
XNYS,NUS,0001021561,US67018T1051,30,303020
XNYS,AME,0001037868,US0311001004,20,201040
XNYS,SRI,0001043337,US86183P1021,25,251010
XNYS,PUK,0001116578,US74435K2042,40,403010
XNYS,VLO,0001035002,US91913Y1001,10,101020
XNYS,CRL,0001100682,US1598641074,35,352030
XNYS,AVB,0000915912,US0534841012,60,601060
XNYS,OFG,0001030469,PR67103X1020,40,401010
XNYS,AWR,0001056903,US0298991011,55,551040
XNYS,CFR,0000039263,US2298991090,40,401010
XNYS,SLG,0001040971,US78440X8873,60,601040
XNYS,SNDA,0001043000,US1404752032,35,351020
XNYS,SSD,0000920371,US8290731053,20,201020
XNYS,BXP,0001037540,US1011211018,60,601040
XNYS,GIL,0001061894,CA3759161035,25,252030
XNYS,RMD,0000943819,US7611521078,35,351010
XNYS,AN,0000350698,US05329W1027,25,255040
XNGS,AZN,0000901832,US0463531089,35,352020
XNYS,BAC,0000070858,US0605051046,40,401010
XNYS,ARE,0001035443,US0152711091,60,601050
XNYS,MET,0001099219,US59156R1086,40,403010
XNYS,SAH,0001043509,US83545G1022,25,255040
XNYS,XOM,0000034088,US30231G1022,10,101020
XNYS,HNI,0000048287,US4042511000,20,202010
XNYS,FIX,0001035983,US1999081045,20,201030
XNYS,TSN,0000100493,US9024941034,30,302020
XNYS,MAGN,0000041719,US55939A1079,15,151050
XNYS,CSV,0001016281,US1439051079,25,253020
XNYS,SEE,0001012100,US81211K1007,15,151030
XNYS,LII,0001069202,US5261071071,20,201020
XNYS,FLS,0000030625,US34354P1057,20,201060
XNYS,GS,0000886982,US38141G1040,40,402030
XNYS,SYK,0000310764,US8636671013,35,351010
XNYS,GGB,0001073404,US3737371050,15,151040
XNYS,MTD,0001037646,US5926881054,35,352030
XNYS,SID,0001049659,US20440W1053,15,151040
XNYS,IX,0001070304,US6863301015,40,402010
XNYS,MHK,0000851968,US6081901042,25,252010
XNYS,WPC,0001025378,US92936U1097,60,601010
XNYS,KFY,0000056679,US5006432000,20,202020
XNYS,PWR,0001050915,US74762E1029,20,201030
XNYS,DEO,0000835403,US25243Q2057,30,302010
XNYS,NYT,0000071691,US6501111073,50,502010
XNYS,MTB,0000036270,US55261F1049,40,401010
XNYS,WSM,0000719955,US9699041011,25,255040
XNYS,TAP,0000024545,US60871R2094,30,302010
XNGS,CAR,0000723612,US0537741052,20,203040
